order_number,timestamp,filename
JP1849B88W00,2020-05-17 09:38:04.661916,MVNCGT-0069-JP1849B88W00AB_orig.CATPart
JP1849NBAY00,2020-05-17 09:38:04.911024,MVNCGT-0065-JP1849NBAY00AB_orig.igs
JP184940E700,2020-05-17 09:38:05.186996,MVNCGT-0077-JP184940E700AB_orig.stp
JP184905MW00,2020-05-17 09:38:05.486290,MVNCGT-0078-JP184905MW00AB_orig.stp
JP1849R40Z00,2020-05-17 09:38:05.730021,MVNCGT-0076-JP1849R40Z00AB_orig.stp
JP18499LD700,2020-05-17 09:38:06.056951,MVNCGT-0079-JP18499LD700AB_orig.stp
JP1849E19T00,2020-05-17 09:38:06.274119,MVNCGT-0068-JP1849E19T00AA_orig.xmt_txt
JP184AACFM00,2020-05-17 09:38:06.630449,MVNCGT-0088-JP184AACFM00AB_orig.STEP
JP184ACB7L00,2020-05-17 09:38:07.122466,MVNCGT-0090-JP184ACB7L00AB_orig.STEP
JP184A5EZ600,2020-05-17 09:38:07.406292,MVNCGT-0101-JP184A5EZ600AB_orig.STEP
JP184A7Y3K00,2020-05-17 09:38:07.763478,MVNCGT-0102-JP184A7Y3K00AB_orig.STEP
JP184ACUC400,2020-05-17 09:38:08.074364,MVNCGT-0103-JP184ACUC400AB_orig.STEP
JP184AUJS200,2020-05-17 09:38:08.289521,MVNCGT-0097-JP184AUJS200AB_orig.SLDPRT
JP184AMMKP00,2020-05-17 09:38:08.530852,MVNCGT-0096-JP184AMMKP00AA_orig.SLDPRT
JP184B0M0800,2020-05-17 09:38:09.205938,MVNCGT-0111-JP184B0M0800AB_orig.step
JP184B3GDE00,2020-05-17 09:38:09.943418,MVNCGT-0112-JP184B3GDE00AB_orig.step
JP184BRUN100,2020-05-17 09:38:10.394289,MVNCGT-0109-JP184BRUN100AB_orig.step
JP184BPYBB00,2020-05-17 09:38:10.977686,MVNCGT-0110-JP184BPYBB00AB_orig.step
JP184AW2A400,2020-05-17 09:38:11.285328,MVNCGT-0092-JP184AW2A400AA_orig.ipt
JP184AHX9K00,2020-05-17 09:38:11.577854,MVNCGT-0081-JP184AHX9K00AB_orig.SLDPRT
JP184A82W800,2020-05-17 09:38:11.969506,MVNCGT-0082-JP184A82W800AB_orig.SLDPRT
JP184A81DS00,2020-05-17 09:38:12.289701,MVNCGT-0083-JP184A81DS00AB_orig.SLDPRT
JP184A2FPM00,2020-05-17 09:38:12.653432,MVNCGT-0104-JP184A2FPM00AB_orig.stp
JP184AZE4100,2020-05-17 09:38:12.989883,MVNCGT-0107-JP184AZE4100AB_orig.stp
JP184ABZAM00,2020-05-17 09:38:13.546725,MVNCGT-0108-JP184ABZAM00AB_orig.stp
JP184A48SE00,2020-05-17 09:38:13.810423,MVNCGT-0086-JP184A48SE00AA_orig.stp
JP184AF2K400,2020-05-17 09:38:14.057998,MVNCGT-0084-JP184AF2K400AB_orig.stp
JP184AZ1PT00,2020-05-17 09:38:14.287049,MVNCGT-0087-JP184AZ1PT00AB_orig.stp
JP184BHESH00,2020-05-17 09:38:14.548031,MVNCGT-0129-JP184BHESH00AB_orig.STEP
JP184BKDPC00,2020-05-17 09:38:14.759610,MVNCGT-0119-JP184BKDPC00AB_orig.STEP
JP184BJ5AK00,2020-05-17 09:38:15.045564,MVNCGT-0137-JP184BJ5AK00AB_orig.STEP
JP184B5U8U00,2020-05-17 09:38:15.339686,MVNCGT-0124-JP184B5U8U00AB_orig.STEP
JP184BMRAY00,2020-05-17 09:38:15.560826,MVNCGT-0138-JP184BMRAY00AB_orig.STEP
JP184BCE0T00,2020-05-17 09:38:15.798886,MVNCGT-0121-JP184BCE0T00AB_orig.STEP
JP184BEHJ800,2020-05-17 09:38:16.039247,MVNCGT-0122-JP184BEHJ800AB_orig.STEP
JP184B8UWM00,2020-05-17 09:38:16.264068,MVNCGT-0128-JP184B8UWM00AB_orig.STEP
JP184B564300,2020-05-17 09:38:16.490982,MVNCGT-0127-JP184B564300AB_orig.STEP
