order_number,timestamp,filename
JLP174D1YP8000,2020-05-18 07:22:19.671602,MVNCGT-0014-JLP174D1YP8000002_orig.CATPart
JLP174EPWSW000,2020-05-18 07:22:19.989785,MVNCGT-0039-JLP174EPWSW000002_orig.SLDPRT
JLP174D820H000,2020-05-18 07:22:20.271494,MVNCGT-0015-JLP174D820H000001_orig.stp
JLP174D29G1000,2020-05-18 07:22:20.511346,MVNCGT-0028-JLP174D29G1000002_orig.stp
JLP174DHESG000,2020-05-18 07:22:20.777634,MVNCGT-0029-JLP174DHESG000002_orig.stp
JLP174DD6CH000,2020-05-18 07:22:21.047094,MVNCGT-0021-JLP174DD6CH000002_orig.stp
JLP174DF3UK000,2020-05-18 07:22:21.322463,MVNCGT-0022-JLP174DF3UK000002_orig.stp
JLP174DBTF1000,2020-05-18 07:22:21.551233,MVNCGT-0023-JLP174DBTF1000002_orig.stp
JLP174DEJJS000,2020-05-18 07:22:21.753690,MVNCGT-0024-JLP174DEJJS000002_orig.stp
JLP174D77BX000,2020-05-18 07:22:21.956150,MVNCGT-0025-JLP174D77BX000002_orig.stp
JLP174DM17B000,2020-05-18 07:22:22.158639,MVNCGT-0026-JLP174DM17B000002_orig.stp
JLP174DED4X000,2020-05-18 07:22:22.430581,MVNCGT-0030-JLP174DED4X000002_orig.stp
JLP174DRHJH000,2020-05-18 07:22:22.667718,MVNCGT-0031-JLP174DRHJH000002_orig.stp
JLP174DYA8J000,2020-05-18 07:22:22.870164,MVNCGT-0032-JLP174DYA8J000002_orig.stp
JLP174DYW42000,2020-05-18 07:22:23.095583,MVNCGT-0033-JLP174DYW42000002_orig.stp
JLP174D4A71000,2020-05-18 07:22:23.336307,MVNCGT-0034-JLP174D4A71000002_orig.stp
JLP174DH0U8000,2020-05-18 07:22:23.542026,MVNCGT-0035-JLP174DH0U8000002_orig.stp
JLP174DT3GN000,2020-05-18 07:22:23.795701,MVNCGT-0016-JLP174DT3GN000002_orig.STEP
JLP174DGBF4000,2020-05-18 07:22:24.021100,MVNCGT-0017-JLP174DGBF4000002_orig.STEP
JLP174EJK5K000,2020-05-18 07:22:24.222475,MVNCGT-0038-JLP174EJK5K000002_orig.x_t
JLP174EUH5F000,2020-05-18 07:22:24.489270,MVNCGT-0040-JLP174EUH5F000002_orig.igs
JLP174DDUSN000,2020-05-18 07:22:24.685959,MVNCGT-0027-JLP174DDUSN000002_orig.stp
JLP174E6NAL000,2020-05-18 07:22:24.875628,MVNCGT-0037-JLP174E6NAL000002_orig.X_T
